1,4Cs The Center for Child Care Careers
2,A & J Training Institute for Southern California
3,A-Technical College
4,A.T. Still University of Health Sciences
5,ABC Adult School
6,"ABC Beauty College, Inc."
7,ACE Institute of Technology
8,ACT College - Arlington
9,ARCLabs
10,ASA College
11,ASI Career Institute
12,ATA College
13,ATI Career Training Center - Dallas
14,ATI Career Training Center - North Richland Hills
15,Abraham Baldwin Agricultural College
16,Academia Morales
17,Academia Serrant Inc
18,Academy Di Capelli
19,Academy of Art University
20,Academy of Career Training
21,Academy of Cosmetology
22,Academy of Hair Design
23,Academy of Learning College
24,Academy of Massage Therapy - Hackensack
25,Academy of Professional Careers
26,Acadia University
27,Access Careers - Hempstead
28,Ace Cosmetology & Barber Training Center
29,Adams State University
30,Adelphi University
31,Adirondack Community College
32,Adler University
33,"Adult and Community Education, Columbus City Schools"
34,Advance Beauty College
35,Advance English Academy
36,Advance Welding Institute
37,Advanced Career Institute - Visalia
38,Advanced College
39,Advocate Health Care System
40,Aesthetics Institute of Cosmetology
41,Agape English Language Institute for Internationals
42,Age of Montessori
43,Aims Community College
44,Air Force Institute of Technology
45,"Airstreams Renewables, Inc."
46,Alabama Southern Community College
47,Alamance Community College
48,Alaska Bible College
49,Alaska Vocational Technical Center
50,Albany College of Pharmacy
51,Albany State University
52,Albany Technical College
53,Albertus Magnus College
54,Albright College
55,Alcorn State University
56,Alexandria Technical and Community College
57,Alexian Brothers Health System
58,Algoma University
59,Algonquin College
60,All Beauty College
61,Alle-Kiski Medical Center
62,Allegany College of Maryland
63,Allen County Community College
64,Allen School of Health Sciences
65,Alliance Computing Solutions (ACS)
66,Alliant International University
67,Allina CPE Center
68,Alpena Community College
69,Altamaha Technical College
70,Altierus Career College
71,Alvernia University
72,Amarillo College
73,America Evangelical University
74,American Academy of Dramatic Arts
75,American Academy of English
76,American Beauty Academy - Wheaton
77,American Broadcasting School
78,American Career College
79,American Career Institute - Framingham
80,American College of Healthcare and Technology
81,American Commercial College - Abilene
82,American Commercial College of Texas
83,American Educational College - Bayamon
84,American English College
85,American Fitness and Nutrition Academy
86,American Flight Training LLC
87,American Harbor College
88,American Institute
89,American Institute of Beauty
90,American InterContinental University
91,American International College
92,American National College
93,American National University
94,American National University - Salem
95,American University
96,American University of Puerto Rico
97,Ameritech College of Healthcare
98,Amherst College
99,Anabaptist Mennonite Biblical Seminary
100,Anamarc College - Santa Teresa
101,Anderson Medical Career College
102,Anderson University
103,Andover College
104,Andrews University
105,Angeles College
106,Angelina College
107,Angley College
108,Anna Maria College
109,Anne Arundel Community College
110,Anoka Technical College
111,Anoka-Ramsey Community College
112,Anthem College - Bryman School
113,Anthem College - Maryland Heights
114,Anthem College - Phoenix
115,Antioch University
116,Aparicio-Levy Technical Center
117,Apollo Career Center
118,Appalachian Bible College
119,Applied Technology Services-South County
120,Apprentice for the Electrical Industry IBEW Local 98
121,Aquinas College
122,Aquinas Institute of Theology
123,Arapahoe Community College
124,Arcadia University
125,Argosy University
126,Arizona Christian University
127,Arizona College
128,Arizona School of Integrative Studies / ASIS Massage Education
129,Arizona State University
130,Arizona Western College
131,Arkansas Baptist College
132,Arkansas College of Barbering and Hair Design
133,Arkansas Northeastern College
134,Arkansas State University
135,Arkansas State University - Beebe
136,Arkansas State University - Newport
137,Arkansas State University Mountain Home
138,Arkansas Tech University
139,Armstrong State University
140,Arthur's Beauty College
141,"Arthur's Beauty College, Inc. - Conway"
142,Artistic Nails and Beauty Academy
143,Asbury Theological Seminary
144,Asher College
145,Asheville Buncombe Technical Community College
146,Ashford University
147,Ashland Community and Technical College
148,Ashland County - West Holmes Career Center
149,Ashland Theological Seminary
150,Ashland University
151,Ashton College
152,Asnuntuck Community College
153,Assemblies of God Theological Seminary
154,Assiniboine Community College
155,"Associated Builders & Contractors, Greater Michigan Chapter dba Greater Michigan Construction Academy"
156,Assumption College
157,Athabasca University
158,Athena Career Academy
159,Athens State University
160,Athens Technical College
161,Atlantic Cape Community College
162,Atlantic Technical College
163,Auburn Career Center
164,Auburn University Main Campus
165,Augsburg University
166,Augusta Technical College
167,Augusta University
168,Augustana University College
169,Auguste Escoffier School of Culinary Arts
170,Aurora College
171,Aurora University
172,Austin Community College
173,Austin Kade Academy
174,Austin Peay State University
175,Aveda Arts & Sciences Institute Corpus Christi
176,Aveda Arts & Sciences Institute Covington
177,Aveda Institute Portland
178,Aveda Institute South Florida
179,Aveda Institute Tallahassee
180,Aveda Institute Tucson
181,Aveda Institute of Columbus
182,Avenue Five Institute
183,Avera Health ACPE System Center
184,Aviation Institute of Maintenance - Atlanta
185,Aviation and Electronic Schools of America - Colfax
186,Avivo Institute of Career and Technical Education
187,Award Beauty School
188,Axis Business Academy - Ben Crenshaw Campus
189,Azure College
190,Azusa Pacific University
191,BCI
192,BJ's Beauty and Barber College
193,Babson College
194,Bacone College
195,Baker College
196,Baker University
197,Baldwin Beauty Schools
198,Baldwin Park Adult and Community Education
199,Baldwin Wallace University
200,Ball State University
201,Baltimore City Community College
202,Baltimore School of Massage
203,Bangor Theological Seminary
204,Bank Street College of Education
205,Baptist Missionary Association Theological Seminary
206,Baptist Seminary of Kentucky
207,"Barber Institute of Texas, LLC"
208,Barber School of Pittsburgh
209,Bard College
210,Bard College at Simon's Rock: The Early College
211,Barone Beauty Academy
212,Barry University
213,Barton County Community College
214,Bastyr University
215,Baton Rouge College
216,Bay Area College of Nursing
217,Bay Area Medical Academy
218,Bay Mills Community College
219,Bay Path University
220,Bay State College
221,Bay de Noc Community College
222,Baylor University
223,Baylor University Medical Center
224,Beaumont Health
225,Beauty Academy of South Florida
226,Beauty Schools of America
227,Beauty Technical College Inc
228,Becker College
229,Becker Professional Development Corporation
230,Beckfield College
231,Bee-Jay's Hairstyling Academy
232,Belhaven University
233,Bell Brown Medical Institute
234,Bella Capelli Academy A Paul Mitchell Partner School
235,Bellefonte Academy of Beauty
236,Bellevue University
237,Bellus Academy
238,Belmont College
239,Belmont University
240,Bemidji State University
241,Bene's Career Academy
242,Benedictine College
243,Benedictine University
244,Bennington College
245,Bentley University
246,Bergen Community College
247,Bergen County Technical Schools
248,Berkeley College
249,Berks Technical Institute
250,Berkshire Community College
251,Berlitz Language Centers
252,Bethany College
253,Bethany Theological Seminary
254,Bethel University
255,Bethesda College of Health Sciences
256,Bethlehem College & Seminary
257,Bethune - Cookman University
258,Bevill State Community College
259,"Bexley Hall Seabury-Western Theological Seminary Federation, Inc."
260,Big Sandy Community and Technical College
261,Biola University
262,Bishop’s University
263,Bismarck State College
264,Black Hawk College
265,Black Hills State University
266,Black River Technical College
267,Blackhawk Technical College
268,Blackstone Career Institute
269,Bladen Community College
270,Blake Austin College
271,Blessing-Rieman College of Nursing and Health Sciences
272,Blinn College District
273,Bloomfield College
274,Bloomsburg University of Pennsylvania
275,Blue Ridge Community College
276,Blue Ridge Community and Technical College
277,Blue River Community College
278,Bluefield State College
