uid,name,count,category,location
729453459,Bag of Aux,1,Cables,6
721508094,HDMI to VGA,7,Cables,6
338801253,VGA Cable,8,Cables,6
4500001,USB C - USB B,4,Cables,7
1000028,Ethernet Cables,5,Cables,7
1000029,USB Serial Debugger,6,Cables,7
716108241,USB A - USB A,8,Cables,7
10000006,USB A - USB B,24,Cables,7
613887491,USB A Male to Mini B,68,Cables,7
134882227,USB A - Micro,27,Cables,7
1000057,Micro HDMI to HDMI,4,Cables,7
53841482,LPCXpresso812-Max Dev Board,41,Microcontrollers,8
778653730,Raspberry Pi 3,2,Microcontrollers,9
56000050,TPlink Wireless Nano USB Adapter,2,Radios,9
596413070,Raspberry Pi 2,10,Microcontrollers,9
410735781,Wi-Fi Nano USB Adapters,6,Radios,9
7.65757E+11,Raspberry Pi 4,4,Microcontrollers,9
1000050,Stepper motors,5,Motors,10
1000051,Micro Servo,45,Motors,10
1000052,Sub Micro Servo,10,Motors,10
P1325C,Continuous Servo,4,Motors,10
1100053,Motor Drivers - L298N,3,Actuators,10
1000032,"DC Gearbox Motor ""TT Motor"" ",7,Motors,10
454105310,Label Maker,1,Other,11
1000055,2D Barcode Scanner,3,Other,11
675460109,Micro SD Cards With adapters,21,Other,11
unknown,Debugger,2,Other,11
Unknown,Ethernet Featherwing,8,Other,11
unknown,Featherwing tripler,3,Other,11
110000074,Elgoo Arduino Kit,15,Kits,11
DE0 /H0C/I,TerAsic FPGA Board,3,Microcontrollers,11
10000010,Breadboards,48,Other,3
197504543,Intel Neural Compute Stick,2,Microcontrollers,13
397464010,Intel Edison,2,Microcontrollers,13
1000074,Fox Development Board,2,Microcontrollers,13
10000022,Fox Development Board Connector,2,Microcontrollers,13
10000023,Nucleo-F411RE,1,Microcontrollers,13
110000027,Arduino Mega 2560,2,Microcontrollers,13
714679154,Circuit Playground Express,5,Microcontrollers,13
159147627,Nvidia Jetson TK1,1,Microcontrollers,13
110000025,USB-C HDMI cable,4,Cables,13
110000005,HM-10 Bluetooth Module ,7,Radios,13
110000037,HC-05 Bluetooth Module ,5,Radios,13
X000ZZLUUZ,WS2812B LED Strip,2,Actuators,13
110000038,Water Sensor,3,Sensors,13
23-002701-02,Fire 7,3,Other,14
LPNRR750266888,Mobile Pixels,3,Other,14
382542894,Small Multimeter,9,Sensors,14
382542894,Digital Multimeter,9,Sensors,14
880743583,Screwdrivers,11,Other,14
561661166,Classic Controller,5,Sensors,16
136632866,Rover Kit,1,Kits,16
201493882,Multi Chassis Kit,3,Kits,16
479848257,Romi Chassis Kit,4,Kits,16
110000073,Mini Round Robot Chasis Kit,7,Kits,16
234783212,Power Adapter (all rasp pi's),6,Other,17
758434818,Raspberry Pi NoIR camera,3,Sensors,17
234783211,Raspberry Pi camera Module,0,Sensors,17
990565173,PiFace,8,Microcontrollers,17
66679680,"5"" LCD Displays",3,Actuators,17
W16908-A,Adafruit AHT20 Temp+Humidity Sensor,10,Sensors,21
10000014,L293D Motor Driver,18,Actuators,21
743847638,Sparkfun Camera Module,2,Sensors,21
978966702,Keyboard and mouse combo,3,Other,21
664155563,Sparkfun MicroSD Transflash,34,Other,21
10000016,Battery Enclosure,20,Other,21
124701945,Arduino Motor Shield (L293D),10,Actuators,21
10000053,Barrel Jacks,8,Other,21
10000017,2 Ohm Speakers,10,Actuators,21
1000059,Neopixel LED Ring,5,Actuators,21
10000015,9V Battery Connector,20,Other,21
854117632,Analog Joysticks,21,Sensors,21
10000274,LCD Dispalys,10,Actuators,21
65279419,Finch Robot,1,Motors,21
110000026,Raspberry Pico,6,Microcontrollers,21
110000028,Ohm Resistors,33,Microcontrollers,23
110000023,USB to USB-C,6,Cables,23
1000058,Uno Power Supply,16,Other,24
1203503010,Particle Xenon Iot Development Kit ,11,Board,25
1203503017,Particle Boron LTE Kit,4,Board,25
1203503012,Particle Argon Kit ,4,Board,25
572890984,Photon Kit,3,Board,25
1000050,Particle Debugger ,1,Board,25
110000039,Grove Starter Kit Plus - IoT Edition,1,Kits,25
895632742,Arduino Uno,22,Microcontrollers,26
